,0
472,Majuro Atoll_Marshall Islands
473,Malabo_Equatorial Guinea
474,Malaga_Spain
475,Malakal Harbor_Palau
476,Male_Maldives
477,Maloy_Norway
478,Manaus_Brazil
479,Manila_Philippines
480,Manokwari Road_Indonesia
481,Manta_Ecuador
482,Mantyluoto_Finland
483,Manzanillo_Mexico
484,Manzanillo_Panama
485,Map Ta Phut_Thailand
486,Maputo_Mozambique
487,Maracaibo_Venezuela
488,Mariel_Cuba
489,Marin_Spain
490,Marina Di Carrara_Italy
491,Mariupol_Ukraine
492,Marmagao_India
493,Marsaxlokk_Malta
494,Marseille_France
495,Masan_South Korea
496,Masao_Philippines
497,Matadi_Democratic Republic of the Congo
498,Matsusaka_Japan
499,Matsuyama_Japan
500,Matthew Town_Bahamas
501,Maumere_Indonesia
502,Mazatlan_Mexico
503,Medway_United Kingdom
504,Mejillones_Chile
505,Melbourne_Australia
506,Menominee_U.S.A.
507,Merak Mas Terminal_Indonesia
508,Merauke_Indonesia
509,Mersa Sfax_Tunisia
510,Mersa Tobruq_Libya
511,Mersin_Turkey
512,Miami_U.S.A.
513,Midia_Romania
514,Mikawa_Japan
515,Milazzo_Italy
516,Milwaukee_U.S.A.
517,Mina Al Ahmadi_Kuwait
518,Mina Jabal Ali_United Arab Emirates
519,Mina Raysut_Oman
520,Mina Saqr_United Arab Emirates
521,Mina Tarabulus (Tripoli)_Libya
522,Mishima-Kawanoe Ko_Japan
523,Misratah_Libya
524,Mitsiwa Harbor_Eritrea
525,Mizushima Ko_Japan
526,Mo Inlet_Norway
527,Mobile_U.S.A.
528,Moen_Micronesia
529,Mohammedia_Morocco
530,Mombasa_Kenya
531,Monfalcone_Italy
532,Mongla_Bangladesh
533,Monopoli_Italy
534,Monrovia_Liberia
535,Montego Bay_Jamaica
536,Montevideo_Uruguay
537,Montoir_France
538,Montreal_Canada
539,Morehead City_U.S.A.
540,Moroni_Comoros
541,Moss_Sweden
542,Mostaganem_Algeria
543,Motril_Spain
544,Moutsamoudu_Comoros
545,Muara Harbor_Brunei
546,Muhamamad Bin Qasim_Pakistan
547,Mumbai (bonbay)_India
548,Mundra_India
549,Muqdisho_Somalia
550,Murmansk_Russia
551,Muroran Ko_Japan
552,Muuga-Port of Talinn_Estonia
553,Mykolayiv_Ukraine
554,Nacala_Mozambique
555,Nagasaki_Japan
556,Nagoya Ko_Japan
557,Nakhodka_Russia
558,Namibe_Angola
559,Nanao Ko_Japan
560,Nantes_France
561,Nantong_China
562,Naoetsu Ko_Japan
563,Napier_New Zealand
564,Napoli_Italy
565,Nassau_Bahamas
566,Natal_Brazil
567,Nelson_New Zealand
568,Nemrut Limani Bay_Turkey
569,New Mangalore_India
570,New Orleans_U.S.A.
571,New Plymouth_New Zealand
572,New Westminster_Canada
573,New York-New Jersey_U.S.A.
574,Newcastle_Australia
575,Newport_United Kingdom
576,Newport News_U.S.A.
577,Nghe Tinh_Vietnam
578,Niigata Ko_Japan
579,Niihama_Japan
580,Ningbo_China
581,Norfolk_U.S.A.
582,Norrkoping_Sweden
583,North Ain Sukhna Port_Egypt
584,Nouadhibou_Mauritania
585,Nouakchott_Mauritania
586,Noumea_New Caledonia
587,Novorossiysk_Russia
588,Nuevitas Bay_Cuba
589,Nuku Alofa_Tonga
590,Oakland_U.S.A.
591,Odense_Denmark
592,Odesa_Ukraine
593,Ofunato_Japan
594,Oil terminal Agioi_Greece
595,Oita Ko_Japan
596,Olbia_Italy
597,Onahama Ko_Japan
598,Onne_Nigeria
599,Onomichi-Itozaki_Japan
600,Oostende_Belgium
601,Oran_Algeria
602,Oro Bay_Papua New Guinea
603,Ortona_Italy
604,Osaka_Japan
605,Oslo_Norway
606,Otago_New Zealand
607,Otaru Ko_Japan
608,Oulo_Finland
609,Oxelosund_Sweden
610,PLTU Semen Tonasa_Indonesia
611,Paarden Baai - (Orangestad)_Aruba
612,Pago Pago Harbor_American Samoa
613,Paita_Peru
614,Palembang_Indonesia
615,Palm Beach_U.S.A.
616,Palmeira_Cape Verde
617,Panjang_Indonesia
618,Papeete_French Polynesia
619,Paradip_India
620,Paramarico_Suriname
621,Paranagua_Brazil
