,0
649,Limetree Bay_U.S. Virgin Islands
650,Linden_Guyana
651,Lingkas_Indonesia
652,Lirquen_Chile
653,Lisboa_Portugal
654,Liverpool_United Kingdom
655,Livorno_Italy
656,Lobito_Angola
657,Lome_Toga
658,London_United Kingdom
659,London Gateway_United Kingdom
660,Londonderry_United Kingdom
661,Longkou Gang_China
662,Longyan Port_China
663,Lorient_France
664,Los Angeles_U.S.A.
665,Luanda_Angola
666,Luba_Equatorial Guinea
667,Lubeck-Travemunde_Germany
668,Luderitz Bay_Namibia
669,Luganville_Vanuatu
670,Lulea_Sweden
671,Lumut_Brunei
672,Lumut_Malaysia
673,Macae_Brazil
674,Macau_Macau
675,Mackay_Australia
676,Madang_Papua New Guinea
677,Madre De Deus_Brazil
678,Magam Ruhunupura Mahinda Rajapaksa Port_Sri Lanka
679,Magdalla_India
680,Mahajanga_Madagascar
681,Mailiao_Taiwan
682,Maizuro Ko_Japan
683,Majuro Atoll_Marshall Islands
684,Makhachkala Port_Russia
685,Malabo_Equatorial Guinea
686,Malaga_Spain
687,Malai_Fiji
688,Malakal Harbor_Palau
689,Male_Maldives
690,Malmo_Sweden
691,Malongo_Angola
692,Maloy_Norway
693,Manaus_Brazil
694,Manila_Philippines
695,Manitowoc_U.S.A.
696,Manokwari Road_Indonesia
697,Manta_Ecuador
698,Mantyluoto_Finland
699,Manzanillo_Mexico
700,Manzanillo_Panama
701,Map Ta Phut_Thailand
702,Maputo_Mozambique
703,Maracaibo_Venezuela
704,Mariel_Cuba
705,Marin_Spain
706,Marina Di Carrara_Italy
707,Mariupol_Ukraine
708,Markenes_Norway
709,Marmagao_India
710,Marsa Sabratah_Libya
711,Marsaxlokk_Malta
712,Marseille_France
713,Marsh Harbor_Bahamas
714,Marugame Ko_Japan
715,Masan_South Korea
716,Masao_Philippines
717,Matadi_Democratic Republic of the Congo
718,Matanzas_Cuba
719,Matsusaka_Japan
720,Matsuyama_Japan
721,Matthew Town_Bahamas
722,Maumere_Indonesia
723,Mazatlan_Mexico
724,Mbulo_Solomon Islands
725,Medvezjegorsk_Russia
726,Medway_United Kingdom
727,Medway City_United Kingdom
728,Mejillones_Chile
729,Melbourne_Australia
730,Menominee_U.S.A.
731,Merak Mas Terminal_Indonesia
732,Merauke_Indonesia
733,Mersa Sfax_Tunisia
734,Mersa Tobruq_Libya
735,Mersin_Turkey
736,Miami_U.S.A.
737,Midia_Romania
738,Mikawa_Japan
739,Milazzo_Italy
740,Milford Haven_United Kingdom
741,Milner Bay_Australia
742,Milwaukee_U.S.A.
743,Mina Al Ahmadi_Kuwait
744,Mina Jabal Ali_United Arab Emirates
745,Mina Qabus_Oman
746,Mina Raysut_Oman
747,Mina Saqr_United Arab Emirates
748,Mina Tarabulus (Tripoli)_Libya
749,Mishima-Kawanoe Ko_Japan
750,Misratah_Libya
751,Mitsiwa Harbor_Eritrea
752,Mizushima Ko_Japan
753,Mo Inlet_Norway
754,Mobile_U.S.A.
755,Moen_Micronesia
756,Mohammedia_Morocco
757,Mombasa_Kenya
758,Monfalcone_Italy
759,Mongla_Bangladesh
760,Mongstad_Norway
761,Monopoli_Italy
762,Monrovia_Liberia
763,Montego Bay_Jamaica
764,Montevideo_Uruguay
765,Montoir_France
766,Montreal_Canada
767,Morehead City_U.S.A.
768,Morgan City_U.S.A.
769,Moroni_Comoros
770,Moss_Sweden
771,Mostaganem_Algeria
772,Motril_Spain
773,Moutsamoudu_Comoros
774,Muara Harbor_Brunei
775,Muhamamad Bin Qasim_Pakistan
776,Mumbai (bonbay)_India
777,Mundra_India
778,Muqdisho_Somalia
779,Murmansk_Russia
780,Muroran Ko_Japan
781,Muuga-Port of Talinn_Estonia
782,Mykolayiv_Ukraine
783,Naantali_Finland
784,Nacala_Mozambique
785,Nagasaki_Japan
786,Nagoya Ko_Japan
787,Nakhodka_Russia
788,Namibe_Angola
789,Namsos_Norway
