id,port,country
580,Kobe,Japan
581,Kobenhavn,Denmark
582,Kochi (Chochin),India
583,Kochi Ko,Japan
584,Koge,Denmark
585,Kokkala,Finland
586,Koko,Nigeria
587,Kolding,Denmark
588,Komatsushima,Japan
590,Koolan,Australia
591,Koper,Slovenia
592,Korsakov,Russia
593,Kota Baru,Indonesia
594,Kota Kinabalu,Malaysia
595,Kotka,Finland
596,Kralendijk,Bonaire
597,Krishnapatnam Port,India
598,Kristiansand,Norway
599,Kristiansund,Norway
601,Kuantan New Port,Malaysia
602,Kuching,Malaysia
603,Kudamatsu,Japan
604,Kulevi Oil Terminal,Georgia
605,Kunda,Estonia
606,Kunsan,South Korea
607,Kupang,Indonesia
608,Kure,Japan
609,Kushiro Ko,Japan
610,Kwajalein,Marshall Islands
611,Kyrenia,Turkey
612,LNG Tangguh,Indonesia
613,La Baie (Port Alfred),Canada
615,La Coruna,Spain
616,La Guaira,Venezuela
617,La Libertad,Ecuador
618,La Pallice,France
619,La Plata,Argentina
620,La Spezia,Italy
621,Laayoune,Western Sahara
622,Lae,Papua New Guinea
623,Lafarge,Indonesia
624,Lagos,Nigeria
626,Lahad Datu,Malaysia
627,Lake Charles,U.S.A.
628,Lakselv,Norway
629,Lamu,Kenya
630,Lanqiao Port,China
631,Larnaca,Cyprus
632,Larvik,Norway
633,Las Palmas,Spain
634,Lautoka Harbor,Fiji
635,Lazaro Cardenas,Mexico
636,Le Legue,France
637,Leith,United Kingdom
638,Lele Harbor,Micronesia
639,Lerwick,United Kingdom
640,Les Sables D' Olonne,France
641,Levuka,Fiji
642,Lianyungang,China
643,Libreville,Gabon
644,Liepaja,Latvia
645,Limassol,Cyprus
646,Limerick,Ireland
647,Limetree Bay,U.S. Virgin Islands
648,Linden,Guyana
649,Lingkas,Indonesia
650,Lirquen,Chile
651,Lisboa,Portugal
652,Liverpool,United Kingdom
653,Livorno,Italy
654,Lobito,Angola
655,Lome,Toga
656,London,United Kingdom
657,London Gateway,United Kingdom
658,Londonderry,United Kingdom
659,Longkou Gang,China
660,Longyan Port,China
661,Lorient,France
662,Los Angeles,U.S.A.
663,Luanda,Angola
664,Luba,Equatorial Guinea
665,Lubeck-Travemunde,Germany
666,Luderitz Bay,Namibia
667,Luganville,Vanuatu
668,Lulea,Sweden
669,Lumut,Brunei
670,Lumut,Malaysia
671,Macae,Brazil
672,Macau,Macau
673,Mackay,Australia
674,Madang,Papua New Guinea
675,Madre De Deus,Brazil
676,Magam Ruhunupura Mahinda Rajapaksa Port,Sri Lanka
677,Magdalla,India
678,Mahajanga,Madagascar
679,Mailiao,Taiwan
680,Maizuro Ko,Japan
681,Majuro Atoll,Marshall Islands
682,Makhachkala Port,Russia
683,Malabo,Equatorial Guinea
684,Malaga,Spain
685,Malai,Fiji
686,Malakal Harbor,Palau
687,Male,Maldives
688,Malmo,Sweden
689,Malongo,Angola
690,Maloy,Norway
691,Manaus,Brazil
692,Manila,Philippines
693,Manitowoc,U.S.A.
694,Manokwari Road,Indonesia
695,Manta,Ecuador
696,Mantyluoto,Finland
697,Manzanillo,Mexico
698,Manzanillo,Panama
699,Map Ta Phut,Thailand
700,Maputo,Mozambique
701,Maracaibo,Venezuela
702,Mariel,Cuba
703,Marin,Spain
704,Marina Di Carrara,Italy
705,Mariupol,Ukraine
706,Markenes,Norway
707,Marmagao,India
708,Marsa Sabratah,Libya
709,Marsaxlokk,Malta
710,Marseille,France
711,Marsh Harbor,Bahamas
712,Marugame Ko,Japan
713,Masan,South Korea
714,Masao,Philippines
715,Matadi,Democratic Republic of the Congo
716,Matanzas,Cuba
717,Matsusaka,Japan
718,Matsuyama,Japan
719,Matthew Town,Bahamas
720,Maumere,Indonesia
721,Mazatlan,Mexico
722,Mbulo,Solomon Islands
724,Medway,United Kingdom
725,Medway City,United Kingdom
726,Mejillones,Chile
727,Melbourne,Australia
728,Menominee,U.S.A.
729,Merak Mas Terminal,Indonesia
730,Merauke,Indonesia
731,Mersa Sfax,Tunisia
732,Mersa Tobruq,Libya
733,Mersin,Turkey
734,Miami,U.S.A.
735,Midia,Romania
736,Mikawa,Japan
737,Milazzo,Italy
738,Milford Haven,United Kingdom
739,Milner Bay,Australia
740,Milwaukee,U.S.A.
741,Mina Al Ahmadi,Kuwait
742,Mina Jabal Ali,United Arab Emirates
743,Mina Qabus,Oman
744,Mina Raysut,Oman
745,Mina Saqr,United Arab Emirates
746,Mina Tarabulus (Tripoli),Libya
747,Mishima-Kawanoe Ko,Japan
748,Misratah,Libya
749,Mitsiwa Harbor,Eritrea
750,Mizushima Ko,Japan
751,Mo Inlet,Norway
752,Mobile,U.S.A.
753,Moen,Micronesia
754,Mohammedia,Morocco
755,Mombasa,Kenya
756,Monfalcone,Italy
757,Mongla,Bangladesh
758,Mongstad,Norway
759,Monopoli,Italy
760,Monrovia,Liberia
761,Montego Bay,Jamaica
762,Montevideo,Uruguay
763,Montoir,France
764,Montreal,Canada
765,Morehead City,U.S.A.
767,Moroni,Comoros
768,Moss,Sweden
769,Mostaganem,Algeria
770,Motril,Spain
771,Moutsamoudu,Comoros
772,Muara Harbor,Brunei
773,Muhamamad Bin Qasim,Pakistan
774,Mumbai (bonbay),India
775,Mundra,India
776,Muqdisho,Somalia
777,Murmansk,Russia
778,Muroran Ko,Japan
779,Muuga-Port of Talinn,Estonia
780,Mykolayiv,Ukraine
781,Naantali,Finland
782,Nacala,Mozambique
783,Nagasaki,Japan
784,Nagoya Ko,Japan
785,Nakhodka,Russia
786,Namibe,Angola
788,Nanao Ko,Japan
789,Nantes,France
790,Nantong,China
791,Naoetsu Ko,Japan
792,Napier,New Zealand
793,Napoli,Italy
794,Narvik,Norway
795,Nasipit Port,Philippines
796,Nassau,Bahamas
797,Natal,Brazil
798,Nauru,Nauru
799,Navlakhi,India
800,Ndora,Solomon Islands
801,Neiafu,Tonga
802,Nelson,New Zealand
803,Nemrut Limani Bay,Turkey
804,Nepoui,New Caledonia
805,New Amsterdam,Guyana
806,New Bedford,U.S.A.
807,New Haven,U.S.A.
808,New Holland,United Kingdom
809,New Mangalore,India
810,New Orleans,U.S.A.
811,New Plymouth,New Zealand
812,New Westminster,Canada
813,New York-New Jersey,U.S.A.
814,Newcastle,Australia
815,Newport,United Kingdom
816,Newport News,U.S.A.
817,Nghe Tinh,Vietnam
818,Nice,France
819,Nicholls Town,Bahamas
820,Niigata Ko,Japan
821,Niihama,Japan
822,Ningbo,China
824,Norfolk,U.S.A.
825,Norrkoping,Sweden
826,North Ain Sukhna Port,Egypt
827,Noshiro Ko,Japan
828,Nouadhibou,Mauritania
829,Nouakchott,Mauritania
830,Noumea,New Caledonia
831,Novorossiysk,Russia
832,Nowshahr Port,Iran
833,Nuevitas Bay,Cuba
834,Nuku Alofa,Tonga
835,Nyborg,Denmark
836,Nynashamn,Sweden
837,Oakland,U.S.A.
838,Ocho Rios,Jamaica
839,Odda,Norway
840,Odense,Denmark
841,Odesa,Ukraine
842,Ofunato,Japan
843,Oil terminal Agioi,Greece
844,Oita Ko,Japan
846,Olbia,Italy
847,Omisalj,Croatia
848,Onahama Ko,Japan
849,Onne,Nigeria
850,Onodo,Japan
851,Onomichi-Itozaki,Japan
852,Onslow,Australia
853,Oostende,Belgium
854,Oran,Algeria
855,Oranjestad,Sint Eustatius
856,Ormoc,Philippines
857,Ormos Aliveriou,Greece
858,Oro Bay,Papua New Guinea
859,Ortona,Italy
860,Osaka,Japan
861,Oskarshamn,Sweden
862,Oslo,Norway
863,Otago,New Zealand
864,Otaru Ko,Japan
865,Oulo,Finland
866,Oxelosund,Sweden
867,PLTU Semen Tonasa,Indonesia
868,Paagoumene,New Caledonia
869,Paarden Baai - (Orangestad),Aruba
870,Pago Pago Harbor,American Samoa
871,Paita,Peru
872,Paldiski,Estonia
873,Palembang,Indonesia
874,Palm Beach,U.S.A.
875,Palmeira,Cape Verde
876,Palua,Venezuela
877,Panama City,U.S.A.
878,Pangai,Tonga
879,Panjang,Indonesia
880,Papeete,French Polynesia
881,Paradip,India
882,Paramarico,Suriname
883,Paranagua,Brazil
884,Parepare,Indonesia
885,Parnu,Estonia
886,Pascagoula,U.S.A.
887,Patrai,Greece
889,Pelabuhan Sansakan,Malaysia
890,Pelabuhan Sungai Udang,Malaysia
891,Pelabuhan Tanjung Wangi,Indonesia
892,PelabuhanRatuCoalPowerPlant,Indonesia
893,Pelotas,Brazil
894,Pemba,Mozambique
895,Penglai,China
896,Pepillo Salcedo,Dominican Republic
897,Peterhead,United Kingdom
898,Petrapavlovsk,Russia
899,Philadelphia,U.S.A.
900,Phillipsburg,Sint Maarten
901,Phu My,Vietnam
902,Phuket,Thailand
903,Pichilingue,Mexico
904,Picton,New Zealand
905,Pipavav Bandar,India
906,Piraievs,Greece
907,Pitea,Sweden
908,Playa De Guayanilla,Puerto Rico
909,Playa De Ponce,Puerto Rico
910,Ploce,Croatia
911,Plymouth,Montserrat
912,Plymouth,United Kingdom
913,Pohang,South Korea
914,Point Fortin,Trinidad and Tobago
915,Point Lisa Port,Trinidad and Tobago
916,Point Murat,Australia
917,Point Noire,Republic of Congo
918,Point Richmond,U.S.A.
919,Pointe A Pierre,Trinidad and Tobago
920,Pointe A Pitre,Guadeloupe
921,Pomalaa,Indonesia
922,Ponta Delgada,Portugal
923,Pontianak,Indonesia
924,Poole Harbour,United Kingdom
925,Pornpei Harbor,Micronesia
926,Porsgrunn,Norway
927,Port Adelaide,Australia
928,Port Alma,Australia
929,Port Angeles,Canada
930,Port Aransas,U.S.A.
931,Port Arthur,U.S.A.
932,Port Au Prince,Haiti
933,Port Aux Basques,Canada
934,Port Bayside NB,Canada
935,Port Bonython,Australia
936,Port Cartier,Canada
937,Port D' Ajaccio,France
938,Port Dalrymple,Australia
939,Port De Aracaju,Brazil
940,Port De Caen,France
941,Port De Kribi,Cameroon
942,Port De Salvador,Brazil
943,Port Dickson,Malaysia
944,Port Dover,Canada
945,Port Elizabeth,Saint Vincent and the Grenadines
946,Port Elizabeth,South Africa
947,Port Esquivel,Jamaica
948,Port Est,Reunion
949,Port Everglades,U.S.A.
950,Port Gentil,Gabon
951,Port Giles,Australia
952,Port Harcourt,Nigeria
953,Port Hedland,Australia
954,Port Hueneme,U.S.A.
955,Port Huon,Australia
956,Port Jerome,France
957,Port Kembla,Australia
958,Port Klang,Malaysia
960,Port Latta,Australia
961,Port Lavaca,U.S.A.
962,Port Lincoln,Australia
963,Port Louis,Mauritius
964,Port Lyttelton,New Zealand
965,Port Manatee,U.S.A.
967,Port Methanier,Algeria
968,Port Moresby,Papua New Guinea
969,Port Nador,Morocco
970,Port Noro,Solomon Islands
971,Port Owendo,Gabon
972,Port Pirie,Australia
974,Port Saint Louis Du Rhone,France
975,Port Sudan,Sudan
976,Port Taman,Russia
977,Port Vale Knights,Cape Verde
978,Port Vila,Vanuatu
979,Port Walcott,Australia
980,Port de Longoni,Mayotte
982,Port of Duqm,Oman
983,Port of Le Havre,France
984,Port of Rouen,France
985,Port of Sillamäe,Estonia
986,Port of Sohar,Oman
987,Port of Spain,Trinidad and Tobago
988,Port-De-Bouc,France
989,Port-La-Nouvelle,France
990,Portland,Australia
991,Portland,U.S.A.
992,Portland Harbour,United Kingdom
993,"Portland, ME",U.S.A.
994,Portmouth,U.S.A.
995,Porto Alegre,Brazil
996,Porto Da Praia,Cape Verde
997,Porto De Leizoes,Portugal
998,Porto De Maceio,Brazil
999,Porto De Mucuripe,Brazil
1000,Porto De Suape,Brazil
1001,Porto Di Chioggia,Italy
1002,Porto Di Corsini,Italy
1003,Porto Di Lido-Venezia,Italy
1004,Porto Di Malamocco,Italy
1005,Porto Di Oristano,Italy
1006,Porto Di Palermo,Italy
